name,address,phone,fax,email,website,keywords,latitude,longitude,pharmacy_code,notes
Belmont Pharmacy Prescription X-Press,"609 Belmont St, New Westminster, BC V3M 5Z9",+1 604 245 6200,1-604-245-6213,,,,49.212069,-122.920477,P6806,
London Drugs Pharmacy,"2032 Lonsdale Ave, North Vancouver, BC V7M 2K5",(604) 980-3661,(604) 980-6791,,,,,,P6792,
SHOPPERS DRUG MART # 204,"370 East Broadway Vancouver, BC V5T 4G5 CANADA",(604) 873-3558,(604) 873-3501,,,,49.2623495,-123.0971212,P1026,
Asher Pharmacy,"207 Asher Road, Kelowna, BC, V1X 8A4",205-223-0101,1-877-651-0256,CareRX@asherpharmacy.com,,,49.89044,-119.391019,P6788,
Pharmasave Yorkdale Pharmacy A104 - 11685 Yonge Street Richmond Hill,A104 - 11685 Yonge Street Richmond Hill ON L4E 4L8,905-770-7775,905-770-7765,,,,,,P6796,
SAFEWAY PHARMACY #4931,"3410 Kingsway, Vancouver, British Columbia, V5R 5L4",604-439-1050,604-439-9611,,,,,,P6800,
Common Good Pharmacy,"3610 Carrington road, #105, Westbank, BC, V4T3K7",778-795-0529,778-699-4768,,,,49.834717,-119.615603,P6802,
BOOMER DRUGS,"8574 Granville St Vancouver, BC V6P 4Z7 CANADA",(604) 266-9010,(604) 568-9838,,,,49.2088562,-123.1402829,P43,
Pharmasave Ladner,"4857 Elliott Street, Ladner, V4K 2X7, BC",(604) 946-4555,(604) 940-6816,,,,49.0892977,-123.0985965,P6780,
Regency Pharmasave,1530 West 7th Avenue. V6J 1S2.,604-738-7181,604-738-7127,,,,,,P6808,
Pharmasave City Square (Pharmasave #1088),"3 - 555 West 12th Ave
Vancouver,BC
V5Z 3X7",(604) 564-9288,(604) 564-9188,,,,,,P6785,
Belmont Pharmacy Prescription X-Press (Delivery),"609 Belmont St, New Westminster, BC V3M 5Z9",+1 604 245 6200,1-604-245-6213,,,,49.212135,-122.920274,P6804,
Choices Pharmacy Delivery,"105-9093 King George Blvd
Surrey, British Columbia, V3V 5V7",604-593-5322,604-593-5320,,,,,,P6789,
Shoppers Drug Mart 240Th & Dewdney #2134,"11939 240Th Street

Maple Ridge, British Columbia V4R 1M7",604-466-3225,604-466-2176,asdm2134@shoppersdrugmart.ca,,,,,P6794,
Co-Drug Mart Pharmacy,"4-100 Lombardy st
Parksville, BC  V9V 1M6",250-951-9699,250-951-9690,,,,,,P6807,
Capilano Guardian Pharmacy,"2003 Curling Road
V7P 0E5",604-969-2316,778-309-6211,,,,,,P6809,
COSTCO PHARMACY # 54,"9151 Bridgeport Road, Richmond, BC V6X 3L9 CANADA",(604) 270-2796,(778) 309-6385,,,,49.1930382,-123.1218312,P109,
Oval Integrative Pharmacy,"6111 River Rd Suite 160, Richmond, BC V7C 0A2",(604) 838-9123,(604) 838-9123,INFO@OVALPHARMACY.CA,,,49.17489731,-123.1514064,P6811,
SAVE-ON-FOODS PHARMACY #2290,"100 3025 Lougheed Hwy. Coquitlam, BC V3B 6S2",604-464-8811,604-552-4705,,,,49.275769,-122.792317,P6810,
Fortinos Hamilton Mall RD,"65 MALL RD, HAMILTON, ONTARIO L8V 5B5",905-574-5939,905-574-8952,,,,43.220728,-79.858717,P6814,
CENTRAL DRUGS - LANTZVILLE,"7186 Lantzville Rd Box 328 Lantzville, BC V0R 2H0 CANADA",(250) 390-4423,(250) 390-4425,,,,49.2504485,-124.0738605,P80,
Healthcare Pharmacy Richmond,"#130-8780 Blundell Road, Richmond, V6Y 3Y8",(604) 275-7800,(604) 275-7400,,,,49.154984,-123.125788,P6812,
Mednow Pharmacy,"4484 Main St, Vancouver, BC V5V 3R3",604-876-6410,604-875-6808,,,,49.24468236,-123.1011504,P6813,
R.E.A.C.H. CENTRE PHARMACY,"1145 Commercial Drive Vancouver, BC V5L 3X3 CANADA",(604) 254-1354,604-215-1315,,,,49.2743925,-123.0697999,P789,
PHARMASAVE SURREY CENTRE Delivery,"110 - 13798 94A Avenue, Surrey BC V3V 1N1",(604) 588-9888,(604) 583-5402,,,,44.191457,-79.936607,P6781,
Pharmasave Mount Pleasant (Pharmasave #1037),"2140 Main St.
Vancouver, BC
V5T 0K1",(604) 566-7767,(604) 566-7768,,,,,,P6786,
PHARMASAVE HEALTH CENTRE # 207,"#110 - 9193 Main Street Chilliwack, BC V2P 7S5 CANADA",(604) 792-1240,1-604-792-7208,,,,49.1692321,-121.9572771,P729,
Choices Pharmacy,"105-9093 King George Blvd
Surrey, British Columbia, V3V 5V7",604-593-5322,604-593-5320,,,,,,P6790,
DAVIE PHARMACY,"1232 Davie St Vancouver, BC V6E 1N3 CANADA",(604) 559-9952,(604) 559-7752,,,,49.282129,-123.134138,P134,
Regency Pharmacy,"#1 - 1530 West 7th Avenue Vancouver, BC V6J 1S2 CANADA",(604) 738-7181,604-738-7127,,,,49.2652193,-123.1395396,P738,
myPharmacyonline.ca,"#304-2537 Beacon Avenue, Sidney, BC V8L 1Y3",(250) 800-0187,(250) 984-0881,pharmacist@mypharmacyonline.ca,,,48.64884651,-123.3947342,P6395,
Plitio Pharmacy,#116 2455 Dollarton Highway,(778) 279-3901,(778) 279-3868,booking@plitio.com,,,49.305936,-123.008789,6388,
PEOPLES PHARMACY #325,"107 - 15551 Fraser Hwy Surrey, BC V3S 2V8 CANADA",(604) 585-6227,(604) 585-0105,,,,49.1625439,-122.7909732,P580,
PHARMASAVE HEALTH CENTRE #1006,"#102 - 1350 England Ave. Courtenay, BC V9N 8X6 CANADA",(250) 334-9311,(250) 334-9306,,,,49.6859037,-124.9946109,P734,
PURE INTEGRATIVE PHARMACY #17,"Hollyburn Plaza #117 - 1760 Marine Dr West Vancouver, BC V7V 1J4 CANADA",(604) 281-3393,(604) 281-3392,,,,49.3281432,-123.1621317,P772,
SAFEWAY PHARMACY #4967,"8671 No. 1 Road Richmond, BC V7C 1V2 CANADA",(604) 241-4013,(604) 271-7647,,,,49.1493146,-123.1826449,P909,
SCOTT ROAD PHARMACY,"102 - 6905 120th St Delta, BC V4E 2A8 CANADA",(604) 591-5080,(604) 591-3855,,,,49.1287678,-122.8907791,P1014,
SULLIVAN HEIGHTS PHARMACY,"#105 - 14340 64 Ave Surrey, BC V3W 1Z1 CANADA",(778) 564-0018,(778) 564-0012,,,,49.1188808,-122.8251025,P1223,
PHARMACY CARE,"89 NORMAN ST , SARNIA N7T 6S3",(519) 464-4400,(519) 464-4458,,,,42.9769407,-82.3906115,305798,
REXALL,"370 WILSON ST E , ANCASTER L9G 4S4",(905) 648-4479,(905) 648-1222,,,,43.2274838,-79.9756145,305516,
WAL-MART PHARMACY,"23550 WOODBINE AVE , KESWICK L4P 3E9",(905) 476-8507,(905) 989-1944,,,,44.218869,-79.4482375,302079,
RENEW MEDICAL PHARMACY,"1015 CAWTHRA RD , MISSISSAUGA L5G 4K3",(905) 271-1134,(905) 990-1162,,,,43.5703215,-79.5665998,303549,
CYRIL PHARMACY,"D - 645 LAKESHORE RD E , MISSISSAUGA L5G 1J5",(905) 990-5454,(905) 990-5453,,,,43.5695571,-79.5669729,308107,
REXALL,"310 GARRISON RD , FORT ERIE L2A 1M7",(905) 994-9000,(905) 994-9100,,,,42.9051171,-78.9256419,305541,
CRIDGE FAMILY PHARMACY,"641 Fort St Victoria, BC V8W 1G1 CANADA",(250) 686-7104,(778) 433-7848,,,,48.4246429,-123.366852,P129,
PROSPER PHARMACY NO. 3 (DELIVERY),"3 - 12818 72 Ave Surrey, BC V3W 2M9 CANADA",(604) 543-6677,1 (604) 543-4433,prosper@pharmacy24.ca,,,49.1334681,-122.8673146,P6407,
Pharmasave Esplanade #1019,123 Esplanade W North Vancouver BC V7M 0G7,604-757-2962,604-757-2963,,,,49.31138724,-123.0807245,P6409,
Healing Pharmacy,"Unit #9 - 103 4501 North Rd, Burnaby, BC V3N 4R7",604-420-0756,1-833-333-1659,healingpharmacy@outlook.com,,,49.24398825,-122.8941869,P6410,
IMPERIAL NEIGHBOURHOOD PHARMACY (DELIVERY),"4648 Imperial St Burnaby, BC V5J 1B8 CANADA",(604) 428-9647,(604) 428-9649,,,,49.2217703,-122.9987652,P6411,
Cridge Family Pharmacy,"1411 Cook St #108, Victoria, BC V8V 3P6",250-590-8711,1-855-647-1319,,,,48.42635717,-123.352994,P6412,
CLEARBROOK PHARMACY,"#1 - 2629 Cedar Park Place Abbotsford, BC V2T 3S4 CANADA",(604) 852-4466,604-744-3444,,,,49.0501471,-122.3356645,P90,
Care Boost Pharmacy #2,"Unit 13190 58a Ave, Surrey, BC V3X 0E4",604-630-6895,604-630-6896,,,,49.12088856,-122.8607516,P6413,
Shoppers Drug Mart #2252,"3303 Main Street, Vancouver, British Columbia V5V 0B7",778-328-9580,778-328-9584,asdm2252@shoppersdrugmart.ca,,,49.25546,-123.10175,P6414,
Indigo Pharmacy MidMain,"2205 Main Street
Vancouver, BC, V5T 0K2",6044232882,6044232887,midmain@indigopharmacy.ca,,,49.26527,-123.10121,P6415,
Cedar Valley Pharmacy,"32818 7th Ave #201, Mission, BC V2V 2C3",1-866-287-7929,1-866-287-8329,,,,49.14891764,-122.3188673,P6423,
Indigo Pharmacy MidMain (DELIVERY),"2205 Main Street
Vancouver, BC, V5T 0K2",6044232882,6044232887,midmain@indigopharmacy.ca,,,49.26527,-123.10121,P6416,
Pharmasave Kensington,916 Kingsway St Vancouver BC V5V 3C4,(604) 428-6800,(833) 520-1527,,,,49.2546248,-123.0853284,P6417,
Wal-Mart - Sage Hill,"35 Sage Hill Gate NW, Calgary, Alberta, T3R 0S4",587-230-3617,587-230-3620,,,,51.17064511,-114.1423334,A331,
Wal-Mart - Shawnessy,"310 Shawville Blvd SE, Unit 100, Calgary, Alberta, T2Y 3S4",403-201-5426,403-201-5428,,,,50.90040032,-114.0635547,A332,
Wal-Mart - Westbrook,"1212 37 St SW, Calgary, Alberta, T3C 1S3",403-249-8904,403-246-7636,,,,51.04168082,-114.1409998,A333,
Westwinds Pharmacy,"4818 Westwinds Dr NE, Unit 1150, Calgary, Alberta, T3J 3Z5",403-293-9360,403-293-9576,,,,51.10115801,-113.965361,A334,
Vitality Drugs,"380 Canyon Meadows Dr SE, Unit 2110, Calgary, Alberta, T2J 7C3",403-454-3121,403-454-3122,,,,50.93041692,-114.064819,A322,
Wal-Mart - Deerfoot Mall,"1110 57 Ave NE, Calgary, Alberta, T2E 9B7",403-730-0988,403-274-9519,,,,51.10636019,-114.0375301,A323,
Wal-Mart - Deerfoot Meadows,"7979 11 St SE, Calgary, Alberta, T2H 0B8",403-251-2671,403-319-0472,,,,50.98281199,-114.0441239,A324,
Wal-Mart - East Hills,"255 East Hills Blvd SE, Calgary, Alberta, T2A 4X7",403-387-0853,403-387-0855,,,,51.0400971,-113.9120861,A325,
Wal-Mart - Macleod,"9650 Macleod Trail S, Calgary, Alberta, T2J 0P7",403-252-7835,403-255-8073,,,,50.96593041,-114.0696662,A326,
Wal-Mart - Marlborough Mall,"Memorial Dr NE, Calgary, Alberta, T2G",403-272-8896,403-248-4063,,,,51.04727493,-114.0235887,A327,
Wal-Mart - McKenzie Towne,"4705 130 Ave SE, Calgary, Alberta, T2Z 4J2",403-726-0433,403-726-0441,,,,50.93170811,-113.9667369,A328,
Wal-Mart - Northland,"5005 Northland Dr NW, Calgary, Alberta, T2L 2K1",403-288-0711,403-247-6129,,,,51.09705599,-114.143839,A329,
Wal-Mart - Royal Oak,"8888 Country Hills Blvd NW, Unit 200, Calgary, Alberta, T3G 5T4",403-567-1512,403-567-1535,,,,51.15232118,-114.2155512,A330,
Wyckham Pharmacy,"4825 Mount Royal Gate SW, Calgary, Alberta, T3E 6K6",403-720-3784,403-720-3785,,,,51.01024101,-114.1328225,A335,
Zinoha Pharmacy,"161, Cougar Ridge Close SW, Cougar Ridge, Calgary, Alberta, T3H 0V4, Canada",403-238-2250,403-238-3383,,,,51.07562725,-114.2204446,A336,
Care First Pharmacy,"7612 6th St, Burnaby, BC V3N 3M5",(604) 553-8611,(604)-553-8610,,,,49.22245386,-122.9317622,P6763,
Whole Health Pharmacy Churchill Meadows,"3580 Thomas Street, Mississauga, ON, L5M0G2",905-412-1009,289-373-1111,cmeadows@wholehealthrx.ca,,,43.558055,-79.741226,P6769,
Shoppers Drug Mart,"5500 Sunshine Coast Highway, Unit 314 Sechelt, British Columbia V0N 3A2",604-740-0052,604-740-0681,,,,,,P6764,
Costco Mail Order Pharmacy,"1-3550 Brighton Ave Burnaby, BC V5A 4W3",778-732-1455,778-732-1460,,,,,,P6767,
Costco Pharmacy Langford,"799 MCCALLUM DR VICTORIA, BC V9B 6A2",(250) 391-0410,(250) 410-1246,,,,,,P6403,
SOLACE PHARMACY,"102 - 1277 Marine Drive North Vancouver, BC V7P 1T3 CANADA",(604) 971-4444,(604) 971-0099,,,,,,P6770,
REMEDY'S RX NOVARA WELLNESS PHARMACY,"3482 Main St Vancouver, BC V5V 3N2 CANADA",(604) 875-6625,6048758477,,,,49.2543181,-123.1004081,P795,
Pharmasave Riverbend,"3 - 760 Mayfair St, Kamloops, BC V2B 0E5",(236) 421-4263,(236) 421-4431,,,,,,P6773,
UPTOWN DRUGS PEOPLES PHARMACY,"#508, 500 6th Avenue, New Westminster, BC, V3L 1V3",604-520-3009,833-694-1527,,,,,,P6774,
Supra IDA Pharmacy,"748 Tranquille rd Kamloops, BC V2b 3j2",2504344443,2504344449,,,,,,P6399,
London Drugs,"650 Terminal Ave Suite 2, Nanaimo, BC V9R 5E2",250-753-4433,250-753-4286,,,,,,P6771,
PHARMASAVE,"220 KING ST E , GANANOQUE K7G 1G5",(613) 382-1333,(613) 382-1498,,,,44.3313124,-76.1604218,31708,
REXALL,"2950 CARLING AVE. , OTTAWA K2B 7J7",(613) 829-3415,(613) 829-6091,,,,45.3559371,-75.8021607,305286,
Carvolth Pharmacy,"#120-20290 86 Avenue, Langley, BC V2Y 3L6",778-298-9618,778-298-9621,contact@carvolthhealthcare.ca,,,49.18555434,-122.7598746,P6772,
REXALL,"405 QUEEN ST. S. , BOLTON L7E 2B5",(905) 857-3766,(905) 857-7337,,,,43.872081,-79.7266231,305379,
uniPHARM Wholesale Drugs LTD.,"Richmond, British Columbia, Canada",(604) 270-9745,(604) 270-8537,,,,,,Uni,
Pharmasave Cloverdale (DELIVERY),,(604) 576-2888,(604) 576-2882,refills@cloverdalepharmasave.com,,,,,PSDLVR,
Shoppers Drug Mart,"730-333 Brooksbank Avenue, Unit 730 North Vancouver, British Columbia V7J 3S8",778-338-6183,778-338-6187,,,,,,P6400,
Pharmasave #1016 Hamilton Village,125 – 23233 Gilley Road Richmond BC V6V 1E6,604-553-8431,604-553-8432,Pharmacy@HVHealth.ca,,,,,P6402,
"Sun Peaks Pharmacy, Alpine Road","1240 Alpine Road #5, Sun Peaks, BC V0E 5N0",(778) 760-4179,(778) 760-4179,,,,,,P6404,
Shoppers Drug Mart #2134,"11939 240th Street Maple Ridge, BC V4R 1M7",(604) 466-3225,(604) 466-2176,,,,,,P6405,
Save-On-Foods Pharmacy,"13630 George JCT Unit 140, Surrey, BC V3T 0P9",604-588-6292,604-930-4883,,,,,,P6425,
JANE PHARMACY,"1750 JANE ST , YORK M9N 2T1",(416) 241-1141,(416) 241-6295,,,,43.7053119,-79.504879,305196,
REXALL,"740 HYDE PARK RD , LONDON N6H 5W9",(519) 471-1780,(519) 471-4435,,,,42.9770895,-81.3218479,305282,
PHARMASAVE,"1153 WESTERN RD , LONDON N6G 1G6",(519) 661-3193,(519) 661-3857,,,,43.0010239,-81.2769773,302846,
REXALL,"1454 OUELLETTE AVE , WINDSOR N8X 1K3",(519) 973-5501,(519) 973-1293,,,,42.3013095,-83.0282284,305314,
REXALL,"350 CRESTHAVEN DR , NEPEAN K2G 4S4",(613) 825-1682,(613) 825-4873,,,,45.2730423,-75.7094029,306373,
PHARMASAVE,"29 MAIN ST E , HUNTSVILLE P1H 2C6",(705) 789-7300,(705) 789-8401,,,,45.3261648,-79.2187495,17186,
PAN DRUGS,"9005 TORBRAM RD , BRAMPTON L6S 3L2",(905) 792-3011,(905) 789-9756,,,,43.7352086,-79.7063634,307507,
108 STOP PHARMACY,"13444 108 Ave Surrey, BC V3T 2K1 CANADA",(604) 957-0711,(604) 953-1700,,,,49.1985378,-122.8493163,P1,
49TH PARALLEL PHARMACY,"15229 Russell Ave White Rock, BC V4B 5C3 CANADA",(778) 294-7737,(778) 294-8847,,,,49.0295432,-122.8003382,P2,
AARONSON'S PHARMACY (COOK ST.) LTD.,"1711 Cook St. Victoria, BC V8T 3P2 CANADA",(250) 383-6511,(250) 383-1353,,,,48.4288383,-123.3527434,P3,
ABBEY REXALL LTC PHARMACY,"Unit 1A - 32943 Marshall Rd Abbotsford, BC V2S 1J8 CANADA",(604) 870-0171,(604) 870-0172,,,,49.0384303,-122.3121121,P4,
ABBY PHARMACY,"#100 - 2845 Cruickshank Street Abbotsford, BC V2T 6X1 CANADA",(604) 504-0060,(604) 504-0616,,,,49.0539654,-122.3246327,P5,
ACKROYD PHARMACY,"160 - 8100 Ackroyd Rd Richmond, BC V6X 3K2 CANADA",(604) 207-9972,(604) 207-9080,,,,49.1712441,-123.1345852,P6,
ADVANCED CARE SPECIALTY PHARMACY,"118 - 5589 Byrne Rd Burnaby, BC V5J 3J1 CANADA",(866) 496-8630,(844) 901-2254,,,,49.2012565,-122.98449,P7,
AGASSIZ PHARMACY,"PO Box 37 7046 Pioneer Ave Agassiz, BC V0M 1A0 CANADA",(604) 491-1070,(604) 491-1071,,,,49.2386497,-121.7647365,P8,
ALBERTO PHARMACY # 1,"2516 Commercial Dr Vancouver, BC V5N 4C2 CANADA",(604) 873-4111,(604) 873-6734,,,,49.2619631,-123.0694653,P9,
ALBERTO PHARMACY NO. 2,"#101 - 2620 Commercial Dr Vancouver, BC V5N 4C4 CANADA",(604) 879-8481,(604) 879-8482,,,,49.260667,-123.069641,P10,
ALDERGROVE COMMUNITY PHARMACY,"106 - 27105 Fraser Hwy Aldergrove, BC V4W 3R2 CANADA",(604) 607-7404,(604) 607-7454,,,,49.058398,-122.473458,P11,
ALDERGROVE PHARMACHOICE,"#120 - 3113 272 St Aldergrove, BC V4W 3R9 CANADA",(604) 625-3784,(604) 625-3785,,,,49.0592759,-122.4712629,P12,
ALERT BAY DRUGS,"90 Fir Street Box 306 Alert Bay, BC V0N 1A0 CANADA",(250) 974-5712,(250) 974-2199,,,,50.585425,-126.929208,P13,
ALL CURE PHARMACY,"101 - 12827 76 Ave Surrey, BC V3W 2V3 CANADA",(778) 592-2500,(778) 592-2501,,,,49.1418272,-122.8673753,P14,
ALLIANCE PHARMACY GROUP,"#165 - 21320 Gordon Way Richmond, BC V6W 1J8 CANADA",(604) 370-1999,(604) 370-2030,,,,49.1665046,-122.9864064,P15,
ALOUETTE PHARMACY,"8 - 11937 227 St Maple Ridge, BC V2X 6J4 CANADA",(604) 467-3784,(604) 467-3714,,,,49.2193485,-122.5941769,P16,
ALPINE DRUG MART IDA,"2060 Columbia Ave. Box 940 Rossland, BC V0G 1Y0 CANADA",(250) 362-5622,(250) 362-5151,,,,49.0771611,-117.7991832,P17,
ANCHOR COMPOUNDING PHARMACY,"105 - 1450 Waddington Rd Nanaimo, BC V9S 4V9 CANADA",(250) 591-4411,(250) 591-4011,,,,49.1850543,-123.9621392,P18,
ANDERSON'S PHARMACY NO. 1,"127 3rd St W North Vancouver, BC V7M 1E7 CANADA",(604) 988-5271,(604) 998-1271,,,,49.3137549,-123.0782984,P19,
ANDREEN'S PHARMACY,"101 - 879 Anders Road West Kelowna, BC V1Z 1K2 CANADA",(250) 769-2014,(250) 769-2054,,,,49.8598281,-119.5511511,P20,
ARGYLE PHARMACY,"3054 3rd Avenue Port Alberni, BC V9Y 2A5 CANADA",778-421-3333,778-421-1919,,,,49.2341411,-124.8079372,P21,
CALEA PHARMACY,"#130 - 8061 Lougheed Hwy Burnaby, BC V5A 1W9 CANADA",(604) 294-1500,(604) 299-3940,,,,49.2547393,-122.9298018,P54,
ARMSTRONG PHARMACY AND WELLNESS CENTRE,"#5 - 3300 Smith Drive Armstrong, BC V0E 1B1 CANADA",(250) 546-3195,(250) 546-3894,,,,50.4468442,-119.183819,P22,
ASHCROFT IDA PHARMACY,"400 - 210 Railway Ave. Box 1060 Ashcroft, BC V0K 1A0 CANADA",(250) 453-2553,(250) 453-2404,,,,50.723993,-121.279422,P23,
ASKEW'S PHARMACY,"2701 11 Ave NE Salmon Arm, BC V1E 2S3 CANADA",(250) 832-7655,(250) 832-7656,,,,50.7077577,-119.2543794,P24,
ASPEN REMEDY'SRX PHARMACY,"102 - 2099 152 St Surrey, BC V4A 4N7 CANADA",(604) 560-2720,(604) 560-2722,,,,49.0398712,-122.8016249,P25,
BAHR'S PHARMACY,"920 Pandora Ave Victoria, BC V8V 3P3 CANADA",(250) 380-2212,(250) 380-4959,,,,48.427702,-123.358051,P26,
BAINS PHARMACY LTD.,"8681 120 St Delta, BC V4C 6R4 CANADA",(604) 543-0911,(604) 507-0988,,,,49.1609857,-122.8922894,P27,
BAY PHARMACY,"6355 Bruce St West Vancouver, BC V7W 2G5 CANADA",(604) 305-0330,(604) 281-0330,,,,49.3736306,-123.2738142,P28,
BAYSHORE PHARMACY,"206 - 2828 152 St Surrey, BC V4P 1G6 CANADA",1-855-237-2473,1-855-233-3146,,,,49.0533748,-122.8008273,P29,
BC DRUGS PHARMACY,"9618 Cameron St Burnaby, BC V3J 1M2 CANADA",(604) 422-8216,(604) 422-8221,,,,49.2527393,-122.8983131,P30,
BELL PHARMACY,"10519 King George Blvd Surrey, BC V3T 2X1 CANADA",(604) 585-3355,(604) 585-3350,,,,49.1938138,-122.8456202,P31,
BEST CARE PHARMACY,"101 - 12181 Harris Rd Pitt Meadows, BC V3Y 2E9 CANADA",(604) 262-4949,(604) 398-4937,,,,49.2240704,-122.6902987,P32,
BETA PHARMACY,"4705A Hastings St Burnaby, BC V5C 2K8 CANADA",(604) 299-6004,(604) 299-5004,,,,49.2812849,-122.9970279,P33,
BETTER ME PHARMACY,"1570 George St White Rock, BC V4B 4A5 CANADA",(778) 545-3700,(778) 545-3701,,,,49.030951,-122.7993496,P34,
BEYOND PHARMACY,"#101 - 19211 Fraser Hwy Surrey, BC V3S 7C9 CANADA",(604) 245-6069,(604) 245-6102,,,,49.1191235,-122.6904771,P35,
BIOPRO BIOLOGICS PHARMACY,"845 Broadway W Vancouver, BC V5Z 1J9 CANADA",(778) 379-8161,(778) 379-8160,,,,49.2635473,-123.1229363,P36,
BIOSCRIPT PHARMACY LTD.,"4050 - 8171 Ackroyd Rd Richmond, BC V6X 3K1 CANADA",(604) 214-3784,(604) 244-3784,,,,49.1720018,-123.1346899,P37,
BIOSENSE COMPOUNDING PHARMACY,"145 - 13988 Maycrest Way Richmond, BC V6V 3C3 CANADA",(604) 278-7955,(604) 278-7960,,,,49.178899,-123.069711,P38,
BLACK'S PHARMACY,"2037 Quilchena Ave. PO Box 35 Merritt, BC V1K 1B8 CANADA",(250) 378-2155,(250) 378-4884,,,,50.1102142,-120.7886203,P39,
BLUERIDGE PHARMACY,"101 - 30461 Blueridge Dr Abbotsford, BC V2T 0B1 CANADA",(604) 855-5075,(604) 855-5375,,,,49.0657728,-122.3797966,P40,
BOND STREET PHARMACY,"609 East Broadway Vancouver, BC V5T 1X7 CANADA",(604) 874-4755,(604) 874-4788,,,,49.2628461,-123.090871,P41,
BONSOR PHARMACY,"#107 - 6411 Nelson Avenue Burnaby, BC V5H 4H3 CANADA",(604) 431-8877,(604) 430-4700,,,,49.2255196,-122.994666,P42,
BRENTWOOD PHARMACY,"4451 Lougheed Hwy Burnaby, BC V5C 3Z2 CANADA",(604) 564-3334,(604) 564-3335,,,,49.2667016,-123.0049184,P44,
BRIDGEVIEW PHARMACY,"105 - 11267 125A St Surrey, BC V3V 8C5 CANADA",(778) 293-4402,(778) 293-4403,,,,49.2073584,-122.875486,P45,
